University,Courses,Chevening
University of Aberdeen,Transport and Intelligent Mobility,False
Cardiff University,Transport and Planning,True
Coventry University,Automotive and Transport Design,True
Coventry University,Air Transport Management,True
Coventry University,Highways and Transportation Engineering,True
Cranfield University,Air Transport Management,True
University of East London,Intelligent Transport Planning and Engineering,False
Edinburgh Napier University,Transport Planning and Engineering,False
University of Glasgow,Urban Transport,True
University of Leeds,Sustainability in Transport,True
University of Leeds,Transport Economics,True
University of Leeds,Transport Planning,True
University of Leeds,Transport Planning and Engineering,True
University of Leeds,Transport Planning and the Environment,True
University of Leeds,Transport Infrastructure: Design and Construction,True
Liverpool John Moores University,"International Transport, Trade and Logistics",False
Newcastle University,"Transport Engineering, Planning and Management",True
Nottingham Trent University,Transport Systems,True
University of Nottingham,Transportation Infrastructure Engineering,True
University of Salford,Sustainable Air Transport Operations and Planning,True
University of Salford,Transport Engineering and Planning,True
University of Southampton,Transportation Planning and Engineering (Behaviour),True
University of Southampton,Transportation Planning and Engineering (Infrastructure),True
University of Southampton,"Transportation, Planning and Engineering (Operations)",True
University of Surrey,Air Transport Management,True
UCL (University College London),Transport and City Planning,True
UCL (University College London),Transport,True
University of Wales Trinity Saint David,Transportation Design (Contemporary Dialogues) (Swansea College of Art),False
"University of Westminster, London",Air Transport Planning and Management,True
"University of Westminster, London",Transport Planning and Management,True
"Bristol, University of the West of England",Transport Engineering and Planning,False
De Montfort University,Air Transport Management,False
University of Hertfordshire,Sustainable Planning and Transport,False
University of Hertfordshire,Transport Planning,False
Imperial College London,Transport,False
Loughborough University,Intelligent Transport Systems,False
University of West London,Air Transport Operations and Management,False
University of Aberdeen,Petroleum Data Management,False
University of Aberdeen,Data Science,False
Aberystwyth University,Data Science,False
Anglia Ruskin University,Artificial Intelligence and Big Data,False
Anglia Ruskin University,FinTech and Data Analytics,False
Aston University,Data Analytics,False
Bangor University,Advanced Data Science,True
Bangor University,Computing for Data Science,True
University of Bath,Data Science (MSc),True
University of Bath,Data Science and Statistics,True
University of Bath,Mathematics with Data Science for Industry,True
"Birkbeck, University of London",Data Science,True
"Birkbeck, University of London",Geographic Data Science,True
University of Birmingham,Data Science,True
University of Birmingham,Health Data Science,True
University of Birmingham,Responsible Data Science,True
University of Bolton,Data Analytics and Technologies,False
Bournemouth University,Data Science and Artificial Intelligence,True
Bournemouth University,Internet of Things with Data Analytics,True
University of Bradford,Big Data Science and Technology,True
University of Bradford,Applied Artificial Intelligence and Data Analytics MSc,True
University of Bradford,"Logistics, Data Analytics and Supply Chain Management",True
University of Brighton,Data Analytics,False
University of Bristol,Finance Technology with Data Science,True
University of Bristol,Management (Digitalisation and Big Data),True
Brunel University London,Data Science and Analytics,True
Brunel University London,Statistics with Data Analytics,True
University of Buckingham,Applied Data Science,False
University of Buckingham,Applied Data Science (Degree Apprenticeship),False
Cardiff University,Data Science and Analytics,True
Cardiff University,Computational and Data Journalism,True
Cardiff University,Data Analytics for Government (MSc),True
Cardiff University,Data-Intensive Astrophysics,True
Cardiff University,Data-Intensive Physics,True
University of Central Lancashire,Applied Data Science,True
University of Chichester,Data Science and Analytics,False
"City, University of London",Data Science,False
Coventry University,Digital Marketing with Data Analytics,True
Coventry University,Data Science,True
Coventry University,Data Science and Computational Intelligence,True
University of Derby,Big Data Analytics,False
University of Dundee,Health Data Science for Applied Precision Medicine MSc,True
University of Dundee,Data Science MSc,True
University of Dundee,Data Science and Engineering MSc,True
Durham University,Scientific Computing and Data Analysis,True
University of East Anglia UEA,Data Science,True
University of East Anglia UEA,Behavioural Economics and Data Science,True
University of East London,Big Data Technologies,False
University of East London,Data Science,False
University of Edinburgh,Data Science,False
University of Edinburgh,High Performance Computing with Data Science,False
University of Edinburgh,Operational Research with Data Science,False
University of Edinburgh,Statistics with Data Science,False
University of Essex,Big Data and Text Analytics,True
University of Essex,Applied Economics and Data Analysis,True
University of Essex,Economics with Data Analytics,True
University of Essex,Finance and Data Analytics,True
University of Essex,Social Data Science,True
University of Essex,Data Analytics in Health Genomics,True
University of Essex,Applied Data Science,True
University of Essex,Data Science,True
University of Essex,Data Science and its Applications,True
University of Essex,Data Science with Professional Placement,True
University of Exeter,Health Data Science,False
University of Exeter,Data Science,False
University of Exeter,Data Science with Artificial Intelligence,False
University of Exeter,Applied Data Science (Ecology and Evolution),False
University of Exeter,Applied Data Science (Environment and Sustainability),False
University of Exeter,Applied Data Science (Renewable Energy),False
University of Exeter,Applied Data Science and Modelling,False
University of Exeter,Applied Data Science and Statistics,False
University of Exeter,Applied Social Data Science,False
University of Glasgow,Data Analytics for Economics and Finance,True
University of Glasgow,Data Science,True
University of Glasgow,Data Analytics,True
"Glyndwr University, Wrexham",Data Science and Big Data Analytics,False
"Goldsmiths, University of London",Data Science,False
University of Greenwich,Big Data and Business Intelligence,False
University of Greenwich,Data Science,False
University of Greenwich,Big Data and Business Intelligence,False
University of Greenwich,Data Science,False
Harper Adams University,"Data Science for Global Agriculture, Food and Environment",False
Heriot-Watt University,Actuarial Management with Data Science,False
Heriot-Watt University,Stochastic Modelling and Computational Data Science,False
Heriot-Watt University,Data Science,False
University of Huddersfield,Data Analytics,True
University of Huddersfield,Data Analytics,True
University of Hull,Artificial Intelligence and Data Science,True
Keele University,Artificial Intelligence and Data Science,False
University of Kent,Statistical Data Science,True
Kingston University,Networking and Data Communications,False
Kingston University,Networking and Data Communications with Management Studies,False
Kingston University,Data Science MSc,False
Lancaster University,Data Science,True
The University of Law,Cyber Security and Data Governance,False
University of Leeds,Health Informatics with Data Science,True
University of Leeds,Data Analytics and Human Resource Management,True
